,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Estado de México,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
Guanajuato,655.9917270117924,5769.885064581388,2577.5322180724143,4706.873078725317,4018.6956887816855,3361.9866783380016,1234.8708530449217,1331.1083708545145,1926.1760200746965,1553.1647172078708,0,1936.7484860116886,1150.985076684995,1053.0018739841616,949.5683431026731,621.4006802227063,1401.281157277726,2034.251766694332,1614.3966151398831,2588.32103650102,1636.477004530207,464.6277639450842,4741.927630805409,373.29324454473146,1493.9927212366429,2516.6324642079053,3690.6204445481894,1307.4578507452363,1636.0505199363697,2614.239615018847,4975.6589206176295,977.838738631255
Guerrero,1191.7632072829128,4415.706270792268,3385.2989014247673,4120.988290711346,3432.8109007677144,2647.4995021959403,851.5438492063491,1727.9108648027113,3802.87522158246,1814.6951205173427,991.2587850572328,0,1094.24060111699,2934.3976959919773,1219.4485774803748,2065.5033769927722,557.1818863471315,3915.6484500466854,1826.1991090880797,2002.4353871425114,1095.8118686239927,776.2478235985752,4156.0419814469,1078.095738492928,2301.758543244458,3324.3991475602584,3104.734795189681,2909.2681493585087,1226.5835437631843,2039.3084696718195,4389.7732712591205,1367.4110058961855
Hidalgo,1772.8304986686032,4048.238226994501,3017.830857627001,3595.7897251616696,2907.6123352180375,3683.567654926168,249.67104618390564,1966.979017532939,2943.777177784694,1874.745693796037,1148.3093583359268,1086.4719929453263,0,2075.316370301207,764.204812307639,1206.4053331950063,551.0046642113635,3056.5662630113775,2250.2672618183074,1477.2368215928345,525.3927896220216,648.3151149842653,3630.843415897223,1009.163891223156,1934.2904994466921,2956.930242417955,2579.536229640004,1828.5418499498564,524.966305028184,1503.1554001106615,3864.574705709444,1298.4624405194177
Jalisco,945.5020803506587,3202.1367775875783,2171.72854687554,5646.292866047654,4958.115476104022,3651.497031676868,2157.7769775564548,1889.8426652142339,706.4165427776048,1842.691788653733,1070.3368830618667,2940.9695750769442,2090.3881459003355,0,1770.1916610471349,1066.61052572881,2405.502246342982,1001.4480954974582,2282.952813483418,3527.7399624788186,2575.8800737455476,1142.979783086074,5681.329838676211,530.1107916623439,1088.189050039769,2110.8287930110314,4630.0402318705255,2123.5524713836153,2575.470307258706,3553.6594023411835,5915.06198983297,1267.3658100771172
Estado de México,1574.0857213749696,3921.6187201300268,2891.2104894179893,3922.8872715876473,3234.7265997510117,4280.0806727011795,425.95140617975585,1769.1001723034892,2630.15767092022,2471.258711571048,949.5645810422934,1209.1440037002455,713.9093456271397,1761.6968634367327,0,892.7858263305322,673.6766749662827,2742.946756146903,2052.3884165888576,1804.3510861258083,852.4911973925373,450.4362697548155,3957.940962323201,811.2841846491683,1807.6709925822179,2830.3107355534803,2906.6346374105196,1745.4320727426773,880.2006351799979,1841.2083118926582,4191.67311347996,1100.583595289968
Michoacán,1252.4785949441505,3627.4158332468787,2597.0084638793787,4672.474273610679,3984.296883667047,3958.47354627036,1183.9583851194798,1826.124505999931,1927.9547840370715,2149.651585140229,627.9574546114742,1967.1677007469655,1116.5862715703565,1059.4772584465886,796.3739299546979,0,1431.6836539060068,2040.7280125012967,2109.412750285299,2553.9222313863816,1602.0781994155686,727.2021069785939,4707.512107583774,868.3085183456099,1513.4681056990698,2536.1087100148698,3656.221639433551,1802.4564064391188,1601.6517148217313,2579.8408099042085,4941.2601155029915,1574.3423246706088
Morelos,930.5774181277449,4154.503763530103,3124.0963941626032,3638.959145053083,2950.7817551094513,2386.31457438531,313.3422032887229,1466.708357540547,3264.672714320296,1553.4926132551786,730.0562777950686,557.0916056299063,556.0548119618218,2396.195188729813,681.2460702182107,1527.3008697306082,0,3377.4459427845213,1564.9974631704533,1520.406241484248,613.7827229657295,515.0453163364111,3673.9961176816405,816.8932312307638,2040.5560359822941,3063.1966402980943,2622.7065108759552,2371.0656420963446,744.554398104921,1557.2801853580938,3907.744125600858,1106.2084986340215
Nayarit,1921.1525092506138,2866.219837292942,1835.811606580904,6621.92743818515,5933.7659050039765,3407.255011844244,3133.4274064564097,4259.388483504513,1695.1124448421342,2448.9502881522976,2045.987311961822,3916.620003976899,3066.0385748002905,994.2039195801777,2745.8429512916277,2042.2618159733029,3381.1526752429368,0,4600.202975585296,4503.3912527233115,3551.5305026455026,2118.630211986029,6656.981128920704,854.761220562299,752.2721097451326,1774.9118527163953,5605.673942663485,3099.2037616281077,3551.104018051665,4529.293113134143,6890.7124187329255,2243.01710032161
Nuevo León,1256.3107674551302,3482.7044377874604,2678.737916018259,5038.041381972542,4349.880710135906,2511.8343228896497,1423.1055676591625,279.1405370543279,3143.223209357817,2178.1170047895703,1076.0993212470173,1827.4832006259294,1433.1597912992356,2270.0490632672822,1401.2852361067885,1292.3015770135214,1568.9991537849708,4595.621699259951,0,2100.4957511152606,1595.651719144448,1088.2282786941937,5073.095072708095,797.3029684960404,1595.180839730954,2617.8205827022166,4021.7878864508766,489.6107506829892,2318.696660009683,2573.7670125704603,5306.826362520316,979.9627212366428
Oaxaca,3205.8874084448594,4711.311854877754,3680.9036241657154,3486.7070787080265,1147.176748884739,5116.624564702424,1403.7428563647682,3400.035927309195,4376.850805667946,3307.8026035722933,2581.366268112183,1988.893589670436,1477.7961698136046,3508.3732800774633,1821.9351082408273,2639.4622429712626,1507.7638481688973,4489.623172787634,3683.3241715945633,0,910.1128952692188,2081.3720247605215,3521.7440513365837,2442.2199396548745,2597.3474092229485,3619.9871521942105,2470.454444530899,2818.717741639866,1104.4550099422486,1405.0281190130372,3755.492920600339,2731.519350295674
